,country_name,state_name,county_code_fips,county_name,Latitude,longitude,confirmed,deaths,recovered,active,refresh_date,combined_key,last_updated,incidence_rate,case_fatality_ratio
0,Afghanistan,,,,33.93911,67.709953,158189,7361,,,2022-01-02,Afghanistan,2022-01-03 02:22:25+00:00,406.3594695699979,4.6532944768599585
1,Albania,,,,41.1533,20.1683,210885,3220,,,2022-01-02,Albania,2022-01-03 02:22:25+00:00,7327.993606226979,1.5268985466012281
2,Algeria,,,,28.0339,1.6596,219159,6291,,,2022-01-02,Algeria,2022-01-03 02:22:25+00:00,499.78058674681915,2.8705186645312306
3,Andorra,,,,42.5063,1.5218,23740,140,,,2022-01-02,Andorra,2022-01-03 02:22:25+00:00,30725.425483724845,0.5897219882055602
4,Angola,,,,-11.2027,17.8739,82920,1772,,,2022-01-02,Angola,2022-01-03 02:22:25+00:00,252.2951495435989,2.1369995176073324
5,Antigua and Barbuda,,,,17.0608,-61.7964,4283,119,,,2022-01-02,Antigua and Barbuda,2022-01-03 02:22:25+00:00,4373.621436157177,2.7784263366798974
6,Argentina,,,,-38.4161,-63.6167,5694930,117204,,,2022-01-02,Argentina,2022-01-03 02:22:25+00:00,12600.579917013045,2.05804109971501
7,Armenia,,,,40.0691,45.0382,345007,7977,,,2022-01-02,Armenia,2022-01-03 02:22:25+00:00,11642.921213781969,2.3121270003217327
8,Australia,Australian Capital Territory,,,-35.4735,149.0124,5323,15,,,2022-01-02,"Australian Capital Territory, Australia",2022-01-03 02:22:25+00:00,1243.4010745153005,0.2817959797106895
9,Australia,New South Wales,,,-33.8688,151.2093,249064,673,,,2022-01-02,"New South Wales, Australia",2022-01-03 02:22:25+00:00,3068.0463168268047,0.2702116725018469
10,Australia,Northern Territory,,,-12.4634,130.8456,624,1,,,2022-01-02,"Northern Territory, Australia",2022-01-03 02:22:25+00:00,296.0097719869707,0.16025641025641027
11,Australia,Queensland,,,-27.4698,153.0251,19707,7,,,2022-01-02,"Queensland, Australia",2022-01-03 02:22:25+00:00,468.00899227836965,0.03552037347135536
12,Australia,South Australia,,,-34.9285,138.6007,15473,8,,,2022-01-02,"South Australia, Australia",2022-01-03 02:22:25+00:00,880.8995160831198,0.05170296645770051
13,Australia,Tasmania,,,-42.8821,147.3272,1628,13,,,2022-01-02,"Tasmania, Australia",2022-01-03 02:22:25+00:00,392.7170868347339,0.7985257985257985
14,Australia,Victoria,,,-37.8136,144.9631,199576,1540,,,2022-01-02,"Victoria, Australia",2022-01-03 02:22:25+00:00,3010.241481771973,0.7716358680402453
15,Australia,Western Australia,,,-31.9505,115.8605,1168,9,,,2022-01-02,"Western Australia, Australia",2022-01-03 02:22:25+00:00,44.40051699232113,0.7705479452054794
16,Austria,,,,47.5162,14.5501,1285510,13752,,,2022-01-02,Austria,2022-01-03 02:22:25+00:00,14273.294546100551,1.069769974562625
17,Azerbaijan,,,,40.1431,47.5769,617679,8375,,,2022-01-02,Azerbaijan,2022-01-03 02:22:25+00:00,6092.00452699554,1.3558822624696647
18,Bahamas,,,,25.025885,-78.035889,25285,717,,,2022-01-02,Bahamas,2022-01-03 02:22:25+00:00,6429.784766864676,2.835673324105201
